,0
0,"водка деревенька зимняя солодовая 40% 0,5л россия"
1,"водка белая березка 40% 0,5л россия"
2,"водка финляндия 40% 0,5л финляндия"
3,"водка пять озер 40% 0,5л россия"
4,"водка белуга нобл 40% 0,7л россия"
5,"водка праздничная 40% 0,5л россия"
6,"водка русский стандарт 40% 0,5л россия"
7,"водка пять озер премиум 40% 0,5л россия"
8,"водка зимняя дорога 40% 0,5л россия"
9,"водка воздух легкая 40% 0,5л россия"
10,"водка белуга трансатлантик рейсинг 40% 0,5л россия"
11,"водка царская золотая 40% 0,5л россия"
12,"водка пять озер 40% 0,25л россия"
13,"водка царская оригинальная 40% 0,7л россия"
14,"водка столичная 40% 0,5л россия"
15,"водка архангельская северная выдержка 40% 0,5л россия"
16,"водка грей гуз 40% 0,5л франция"
17,"водка беленькая 40% 0,25л россия"
18,"водка царская золотая 40% 0,7л россия"
19,"водка беленькая люкс 40% 0,5л россия"
20,"водка деревенька зимняя солодовая 40% 0,25л россия"
21,"водка праздничная 40% 0,25л россия"
22,"водка абсолют 40% 0,5л швеция"
23,"водка талка 40% 0,5л россия"
24,"водка старая москва 40% 0,5л россия"
25,"водка белуга нобл 40% 0,5л россия"
26,"водка царская оригинальная 40% 0,5л россия"
27,"водка чистые росы 40% 0,7л россия"
28,"водка чистые росы 40% 0,5л россия"
29,"водка русский стандарт 40% 0,375л россия"
30,"водка медофф люкс 40% 0,5л россия"
31,"водка зеленая марка кедровая 40% 0,5л россия"
